time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0025,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349166,4.11705e-08,-4.09544e-08,-0.123511,0.122863,0.349166,4.11704e-08,-4.09544e-08,-0.123511,0.122863,0.349442,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349442,-1.48997,-5.64264e-07,0.349389,8.27636e-08,0.000345469,5.29944e-07,1,3.82401e-07,-1.02504e-11,-5.27879e-10,4.08e-13,2.63477e-08,-3.99053e-15,-0.0067781,1.62741e-06,-2.34162e-06
1.005,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349166,4.11705e-08,-4.09544e-08,-0.123511,0.122863,0.349166,4.11704e-08,-4.09544e-08,-0.123511,0.122863,0.349442,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349442,-1.48997,-5.64264e-07,0.349389,8.27636e-08,0.000345469,5.29944e-07,1,3.82401e-07,-1.025e-11,-5.27877e-10,4.00261e-13,2.63477e-08,-4.05005e-15,-0.0067781,1.62741e-06,-2.34162e-06
1.0075,1.92661e-05,-1.92662e-05,-0.11905,0.117247,0.349166,0.000243676,0.000175142,-0.00314712,0.224369,0.349166,6.04742e-05,-8.05944e-06,-0.0993447,0.124347,0.349442,1.9266e-05,-1.92662e-05,-0.117067,0.115253,0.349442,-1.48997,-5.4101e-07,0.349389,-1.5847e-07,0.000344347,5.27412e-07,1,-4.30524e-05,9.28631e-06,3.58447e-05,-0.000192986,-0.000897345,-2.09184e-06,-0.0241399,0.00371144,0.0143238
1.01,5.62745e-05,-5.62746e-05,-0.119052,0.117708,0.349167,0.000712676,0.000512373,-0.00731666,0.220944,0.349167,0.000176808,-2.3495e-05,-0.100426,0.124881,0.349442,5.62745e-05,-5.62746e-05,-0.11748,0.116128,0.349441,-1.48997,-5.03858e-07,0.349389,-5.37801e-07,0.000342345,5.27032e-07,1,-7.77999e-05,1.48354e-05,5.89419e-05,-0.000303466,-0.00160187,-4.08912e-07,-0.0206221,0.00220908,0.00922705
1.0125,0.000109733,-0.000109733,-0.118981,0.118203,0.349168,0.00139014,0.000999497,-0.0154115,0.213668,0.349169,0.000344851,-4.57914e-05,-0.102012,0.125035,0.349441,0.000109732,-0.000109733,-0.117862,0.117078,0.34944,-1.48997,-4.6077e-07,0.349389,-9.75339e-07,0.000339716,5.26865e-07,1,-0.000102732,1.72052e-05,7.15237e-05,-0.000350032,-0.00210327,-2.54077e-07,-0.0166414,0.000928805,0.0050237
1.015,0.000178406,-0.000178407,-0.118917,0.118661,0.34917,0.00226043,0.00162527,-0.0232044,0.206709,0.34917,0.000560724,-7.4434e-05,-0.103535,0.125167,0.34944,0.000178406,-0.000178406,-0.118212,0.117952,0.349439,-1.48997,-4.17572e-07,0.349389,-1.41264e-06,0.000336692,5.26707e-07,1,-0.000118506,1.7249e-05,7.59611e-05,-0.000349844,-0.00241891,-2.4781e-07,-0.0129167,-1.02012e-05,0.00176848
1.0175,0.000261155,-0.000261155,-0.118874,0.11908,0.349171,0.00330909,0.0023793,-0.0304545,0.200311,0.349172,0.000820841,-0.000108947,-0.104968,0.125295,0.349439,0.000261155,-0.000261155,-0.118536,0.118741,0.349438,-1.48997,-3.78252e-07,0.349388,-1.80978e-06,0.00033348,5.26549e-07,1,-0.000126137,1.57012e-05,7.43381e-05,-0.000317715,-0.00256979,-2.37291e-07,-0.00959476,-0.000654622,-0.000653441
1.02,0.000356923,-0.000356923,-0.118858,0.119464,0.349173,0.00452274,0.00325196,-0.037192,0.19444,0.349173,0.00112188,-0.00014889,-0.106315,0.125412,0.349438,0.000356923,-0.000356923,-0.118838,0.119444,0.349437,-1.48997,-3.45275e-07,0.349388,-2.14214e-06,0.000330257,5.26396e-07,1,-0.000126728,1.31681e-05,6.84252e-05,-0.000265881,-0.00257837,-2.15445e-07,-0.00671444,-0.00105525,-0.00236744
1.0225,0.000464733,-0.000464733,-0.118875,0.119816,0.349174,0.005889,0.00423436,-0.0434608,0.189049,0.349175,0.00146078,-0.000193855,-0.10758,0.12551,0.349437,0.000464733,-0.000464733,-0.119121,0.120063,0.349436,-1.48997,-3.19905e-07,0.349387,-2.39719e-06,0.000327172,5.26254e-07,1,-0.000121413,1.01309e-05,5.96837e-05,-0.000204045,-0.00246769,-1.86247e-07,-0.00429084,-0.0012619,-0.00349731
1.025,0.000583683,-0.000583683,-0.118926,0.120137,0.349175,0.00739643,0.00531827,-0.0493001,0.184094,0.349176,0.00183469,-0.000243467,-0.108768,0.125582,0.349436,0.000583683,-0.000583683,-0.119387,0.1206,0.349435,-1.48997,-3.02491e-07,0.349387,-2.57163e-06,0.000324347,5.26126e-07,1,-0.000111321,6.95461e-06,4.92854e-05,-0.000139557,-0.00226065,-1.53278e-07,-0.00232426,-0.00132095,-0.0041588
