time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0025,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349166,4.11705e-08,-4.09544e-08,-0.123511,0.122863,0.349166,4.11704e-08,-4.09544e-08,-0.123511,0.122863,0.349442,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349442,-1.48997,-5.64264e-07,0.349389,8.27636e-08,0.000345469,5.29944e-07,1,3.82401e-07,-1.02505e-11,-5.27877e-10,4.09448e-13,2.63477e-08,-3.93967e-15,-0.0067781,1.62741e-06,-2.34162e-06
1.005,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349166,4.11705e-08,-4.09544e-08,-0.123511,0.122863,0.349166,4.11704e-08,-4.09544e-08,-0.123511,0.122863,0.349442,4.09555e-08,-4.11693e-08,-0.122866,0.123508,0.349442,-1.48997,-5.64264e-07,0.349389,8.27636e-08,0.000345469,5.29944e-07,1,3.82401e-07,-1.025e-11,-5.27877e-10,4.00486e-13,2.63477e-08,-4.17046e-15,-0.0067781,1.62741e-06,-2.34162e-06
1.0075,8.96246e-05,-5.60625e-05,-0.0917156,0.110199,0.349166,5.97907e-05,-6.53182e-05,-0.105811,0.102133,0.349166,6.88167e-05,-5.78204e-05,-0.101064,0.106237,0.349443,5.53983e-05,-8.43316e-05,-0.109293,0.0943063,0.349443,-1.48997,-5.76388e-07,0.349389,2.08232e-07,0.000345423,5.29752e-07,1,-1.35365e-06,-4.84177e-06,8.26419e-05,0.000100374,-3.70793e-05,-1.18767e-07,-0.00749445,-0.0019326,0.0330542
1.01,0.000262074,-0.000163904,-0.0934062,0.111241,0.349167,0.000174809,-0.000190977,-0.106987,0.103408,0.349166,0.00020121,-0.000169046,-0.102415,0.107369,0.349443,0.000161962,-0.000246591,-0.110317,0.0958811,0.349443,-1.48997,-5.95699e-07,0.349389,4.05313e-07,0.000345329,5.29548e-07,1,-3.19731e-06,-7.71131e-06,0.000129303,0.000157665,-7.52332e-05,-1.08883e-07,-0.0075257,-0.00113984,0.0186616
1.0125,0.000511174,-0.000319679,-0.0954761,0.112045,0.349167,0.000340951,-0.00037249,-0.108154,0.104791,0.349167,0.00039245,-0.00032971,-0.103922,0.108464,0.349443,0.000315891,-0.000480973,-0.111142,0.0978143,0.349443,-1.48997,-6.18074e-07,0.349388,6.3247e-07,0.000345191,5.29339e-07,1,-4.91715e-06,-8.93515e-06,0.000148037,0.000181726,-0.000110307,-1.04282e-07,-0.00746575,-0.000477112,0.00749083
1.015,0.000831176,-0.000519792,-0.0974503,0.112815,0.349167,0.000554382,-0.000605667,-0.109253,0.106105,0.349167,0.000638123,-0.000536104,-0.105353,0.109509,0.349443,0.000513632,-0.000782067,-0.111931,0.099674,0.349444,-1.48997,-6.40495e-07,0.349388,8.59403e-07,0.000345016,5.2913e-07,1,-6.36984e-06,-8.95382e-06,0.000146731,0.000181546,-0.000139614,-1.04385e-07,-0.00734993,9.39727e-06,-0.000525094
1.0175,0.00121676,-0.000760919,-0.09931,0.113569,0.349168,0.000811556,-0.000886633,-0.110291,0.107348,0.349168,0.000934147,-0.000784798,-0.106704,0.110508,0.349444,0.000751901,-0.00114487,-0.1127,0.101439,0.349444,-1.48997,-6.60898e-07,0.349387,1.06544e-06,0.000344815,5.28925e-07,1,-7.46216e-06,-8.14851e-06,0.000132043,0.000164832,-0.000161384,-1.07001e-07,-0.00719814,0.000343016,-0.00587787
1.02,0.00166301,-0.00103998,-0.10106,0.114304,0.349168,0.00110919,-0.0012118,-0.111271,0.108522,0.349168,0.00127675,-0.00107262,-0.107976,0.111461,0.349444,0.00102766,-0.00156475,-0.113448,0.103109,0.349444,-1.48997,-6.78007e-07,0.349385,1.23786e-06,0.000344596,5.28727e-07,1,-8.14288e-06,-6.83397e-06,0.000109364,0.000137935,-0.000174674,-1.10562e-07,-0.00702701,0.000550085,-0.00907423
1.0225,0.00216538,-0.00135414,-0.102705,0.115017,0.349169,0.00144425,-0.00157787,-0.112197,0.109628,0.349168,0.00166242,-0.00139664,-0.109173,0.112367,0.349444,0.00133809,-0.00203744,-0.114172,0.104686,0.349444,-1.48997,-6.91173e-07,0.349384,1.37022e-06,0.000344372,5.28538e-07,1,-8.39714e-06,-5.25974e-06,8.288e-05,0.000105889,-0.000179258,-1.13975e-07,-0.00685099,0.000656551,-0.0105959
1.025,0.00271966,-0.00170075,-0.104252,0.115704,0.349169,0.00181394,-0.00198175,-0.113071,0.110669,0.349168,0.00208795,-0.00175413,-0.110299,0.113224,0.349444,0.0016806,-0.00255896,-0.114868,0.10617,0.349444,-1.48997,-7.00219e-07,0.349382,1.46085e-06,0.000344153,5.28361e-07,1,-8.24008e-06,-3.61497e-06,5.56914e-05,7.24998e-05,-0.000175499,-1.16528e-07,-0.00668196,0.000686542,-0.0108777
